20270;01140203700001;01140203700001;YSUR;LdS.x-1;YPF.Nq.LdS.x-1;GL;725.0;1753.5;2440076.74187855;5657146.2907127;Loma del Sueno;Neuquen;N/D;AMERICAS PETROGAS;1984-01-01;1;TOTORAL;Neuquen;YSUR;Projection unknown. Data from JAC;AMERICAS PETROGAS
10899;AR020000192000;AR020000192000;DBU;LP-4;YPF.Nq.LP-4;KB;720.0;1041.6;2490969.0300000003;5653895.36;LOMA POTRILLO;NEUQUEN;PICUN LEUFU;YPF S.A.;1960-12-26;4;;NEUQUINA;GIT;;SIN DATO
30546;PLU.Nq.Ce-1166(d);PLU.Nq.Ce-1166(d);SEN;Ce-1166(d);PLU.Nq.Ce-1166(d);GL;277.15;3510.0;2570593.4667374;5691409.27395519;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2018-04-01;1166(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159298;UNKNOWN
30544;PLU.Nq.Ce-1140(d);PLU.Nq.Ce-1140(d);SEN;Ce-1140(d);PLU.Nq.Ce-1140(d);GL;277.13;3512.0;2570593.70855384;5691397.50311452;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2018-04-19;1140(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159296;UNKNOWN
30545;PLU.Nq.Ce.ia-1555(d);PLU.Nq.Ce.ia-1555(d);SEN;Ce.ia-1555(d);PLU.Nq.Ce.ia-1555(d);GL;269.15;2674.9;2571650.88189498;5690850.29685085;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2015-11-03;1555(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 155715;UNKNOWN
30559;PLU.Nq.Ce-1400(d);PLU.Nq.Ce-1400(d);SEN;Ce-1400(d);PLU.Nq.Ce-1400(d);GL;275.85;2556.3;2567038.95994936;5696459.70362451;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2013-04-07;1400(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 134907;UNKNOWN
30547;PLU.Nq.Ce-1478(d);PLU.Nq.Ce-1478(d);SEN;Ce-1478(d);PLU.Nq.Ce-1478(d);GL;365.35;3393.1;2568041.52293517;5692200.04517744;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-01-20;1478(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 156400;UNKNOWN
30558;PLU.Nq.Ce-1493(d);PLU.Nq.Ce-1493(d);SEN;Ce-1493(d);PLU.Nq.Ce-1493(d);GL;309.87;3220.0;2563045.0855363;5693286.17471349;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-06-06;1493(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 158335;UNKNOWN
30552;PLU.Nq.Ce-1297(d);PLU.Nq.Ce-1297(d);SEN;Ce-1297(d);PLU.Nq.Ce-1297(d);GL;272.14;3170.0;2569429.99029821;5690307.32676544;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2018-03-09;1297(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159293;UNKNOWN
30569;PLU.Nq.Ce-1507(d);PLU.Nq.Ce-1507(d);SEN;Ce-1507(d);PLU.Nq.Ce-1507(d);GL;374.65;3810.0;2570283.50951133;5692658.62481041;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2018-05-07;1507(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159468;UNKNOWN
30561;PLU.Nq.Ce-1448(d);PLU.Nq.Ce-1448(d);SEN;Ce-1448(d);PLU.Nq.Ce-1448(d);GL;289.74;2578.0;2570172.3908287;5691827.03468357;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2014-02-21;1448(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 147192;UNKNOWN
30548;PLU.Nq.Ce-1336(d);PLU.Nq.Ce-1336(d);SEN;Ce-1336(d);PLU.Nq.Ce-1336(d);GL;365.89;3734.0;2568827.93172654;5692488.34410853;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-02-18;1336(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 156644;UNKNOWN
30565;PLU.Nq.Ce-1494(d);PLU.Nq.Ce-1494(d);SEN;Ce-1494(d);PLU.Nq.Ce-1494(d);GL;293.25;2916.3;2567115.28640852;5691616.42255873;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2014-11-02;1494(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 79245;UNKNOWN
30570;PLU.Nq.Ce-1506(d);PLU.Nq.Ce-1506(d);SEN;Ce-1506(d);PLU.Nq.Ce-1506(d);GL;354.77;3771.2;2569798.20811954;5692698.56075904;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-11-17;1506(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 157801;UNKNOWN
30576;PLU.Nq.Ce-1508(d);PLU.Nq.Ce-1508(d);SEN;Ce-1508(d);PLU.Nq.Ce-1508(d);GL;361.5;3700.3;2570156.97992495;5692240.73973229;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-01-14;1508(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 157948;UNKNOWN
30579;PLU.Nq.Ce-1517(d);PLU.Nq.Ce-1517(d);SEN;Ce-1517(d);PLU.Nq.Ce-1517(d);GL;273.91;2392.8;2566781.18434224;5690545.09216777;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2018-01-08;1517(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159095;UNKNOWN
30580;PLU.Nq.Ce-1516(d);PLU.Nq.Ce-1516(d);SEN;Ce-1516(d);PLU.Nq.Ce-1516(d);GL;273.99;3088.0;2566791.88664764;5690559.65695255;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2015-12-19;1516(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 156209;UNKNOWN
